Time,Process_Time [s],State,Temperature [Centigrade]
Thu Feb 16 14:42:13 2017,110,Initialization,24.0
Thu Feb 16 14:42:13 2017,111,Initialization,24.0
Thu Feb 16 14:42:13 2017,112,Initialization,24.0
Thu Feb 16 14:42:14 2017,113,Initialization,24.0
Thu Feb 16 14:42:14 2017,114,Initialization,24.0
Thu Feb 16 14:42:14 2017,115,Initialization,24.0
Thu Feb 16 14:42:14 2017,116,Initialization,24.0
Thu Feb 16 14:42:15 2017,117,Initialization,24.0
Thu Feb 16 14:42:15 2017,118,Initialization,24.0
Thu Feb 16 14:42:15 2017,119,Initialization,24.0
Thu Feb 16 14:42:15 2017,120,Initialization,24.0
Thu Feb 16 14:42:16 2017,121,Initialization,24.0
Thu Feb 16 14:42:16 2017,122,Initialization,24.0
Thu Feb 16 14:42:16 2017,123,Initialization,24.0
Thu Feb 16 14:42:16 2017,124,Initialization,23.0
Thu Feb 16 14:42:17 2017,125,Initialization,23.0
Thu Feb 16 14:42:17 2017,126,Initialization,24.0
Thu Feb 16 14:42:17 2017,127,Initialization,24.0
Thu Feb 16 14:42:17 2017,128,Initialization,24.0
Thu Feb 16 14:42:18 2017,129,Initialization,24.0
Thu Feb 16 14:42:18 2017,130,Initialization,24.0
Thu Feb 16 14:42:18 2017,131,Initialization,24.0
Thu Feb 16 14:42:18 2017,132,Initialization,24.0
Thu Feb 16 14:42:19 2017,133,Initialization,24.0
Thu Feb 16 14:42:19 2017,134,Initialization,24.0
Thu Feb 16 14:42:19 2017,135,Initialization,24.0
Thu Feb 16 14:42:19 2017,136,Initialization,24.0
Thu Feb 16 14:42:20 2017,137,Initialization,23.0
Thu Feb 16 14:42:20 2017,138,Initialization,24.0
Thu Feb 16 14:42:20 2017,139,Initialization,24.0
Thu Feb 16 14:42:20 2017,140,Initialization,23.0
Thu Feb 16 14:42:21 2017,141,Initialization,24.0
Thu Feb 16 14:42:21 2017,142,Initialization,24.0
Thu Feb 16 14:42:21 2017,143,Initialization,24.0
Thu Feb 16 14:42:21 2017,144,Initialization,23.0
Thu Feb 16 14:42:22 2017,145,Initialization,24.0
Thu Feb 16 14:42:22 2017,146,Initialization,23.0
Thu Feb 16 14:42:22 2017,147,Initialization,24.0
Thu Feb 16 14:42:22 2017,148,Initialization,24.0
Thu Feb 16 14:42:23 2017,149,Initialization,24.0
Thu Feb 16 14:42:23 2017,150,Initialization,24.0
Thu Feb 16 14:42:23 2017,151,Initialization,24.0
Thu Feb 16 14:42:23 2017,152,Initialization,24.0
Thu Feb 16 14:42:24 2017,153,Initialization,24.0
Thu Feb 16 14:42:24 2017,154,Initialization,23.0
Thu Feb 16 14:42:24 2017,155,Initialization,23.0
Thu Feb 16 14:42:24 2017,156,Initialization,24.0
Thu Feb 16 14:42:25 2017,157,Initialization,24.0
Thu Feb 16 14:42:25 2017,158,Initialization,24.0
Thu Feb 16 14:42:25 2017,159,Initialization,23.0
Thu Feb 16 14:42:25 2017,160,Initialization,24.0
Thu Feb 16 14:42:26 2017,161,Initialization,24.0
Thu Feb 16 14:42:26 2017,162,Initialization,24.0
Thu Feb 16 14:42:26 2017,163,Initialization,24.0
Thu Feb 16 14:42:26 2017,164,Initialization,24.0
Thu Feb 16 14:42:27 2017,165,Initialization,23.0
Thu Feb 16 14:42:27 2017,166,Initialization,23.0
Thu Feb 16 14:42:27 2017,167,Initialization,24.0
Thu Feb 16 14:42:27 2017,168,Initialization,24.0
Thu Feb 16 14:42:28 2017,169,Initialization,24.0
Thu Feb 16 14:42:28 2017,170,Initialization,24.0
Thu Feb 16 14:42:28 2017,171,Initialization,24.0
Thu Feb 16 14:42:28 2017,172,Initialization,23.0
Thu Feb 16 14:42:29 2017,173,Initialization,23.0
Thu Feb 16 14:42:29 2017,174,Initialization,24.0
Thu Feb 16 14:42:29 2017,175,Initialization,24.0
Thu Feb 16 14:42:29 2017,176,Initialization,23.0
Thu Feb 16 14:42:30 2017,177,Initialization,23.0
Thu Feb 16 14:42:30 2017,178,Initialization,24.0
Thu Feb 16 14:42:30 2017,179,Initialization,24.0
Thu Feb 16 14:42:30 2017,180,Initialization,24.0
Thu Feb 16 14:42:31 2017,181,Initialization,24.0
Thu Feb 16 14:42:31 2017,182,Initialization,24.0
Thu Feb 16 14:42:31 2017,183,Initialization,24.0
Thu Feb 16 14:42:31 2017,184,Initialization,23.0
Thu Feb 16 14:42:32 2017,185,Initialization,24.0
Thu Feb 16 14:42:32 2017,186,Initialization,23.0
Thu Feb 16 14:42:32 2017,187,Initialization,24.0
Thu Feb 16 14:42:32 2017,188,Initialization,24.0
Thu Feb 16 14:42:33 2017,189,Initialization,24.0
Thu Feb 16 14:42:33 2017,190,Initialization,24.0
Thu Feb 16 14:42:33 2017,191,Initialization,24.0
Thu Feb 16 14:42:33 2017,192,Initialization,23.0
Thu Feb 16 14:42:34 2017,193,Initialization,24.0
Thu Feb 16 14:42:34 2017,194,Initialization,24.0
Thu Feb 16 14:42:34 2017,195,Initialization,24.0
Thu Feb 16 14:42:34 2017,196,Initialization,24.0
Thu Feb 16 14:42:35 2017,197,Initialization,24.0
Thu Feb 16 14:42:35 2017,198,Initialization,24.0
Thu Feb 16 14:42:35 2017,199,Initialization,24.0
Thu Feb 16 14:42:35 2017,200,Initialization,24.0
Thu Feb 16 14:42:36 2017,201,Initialization,23.0
Thu Feb 16 14:42:36 2017,202,Initialization,23.0
Thu Feb 16 14:42:36 2017,203,Initialization,23.0
Thu Feb 16 14:42:36 2017,204,Initialization,24.0
Thu Feb 16 14:42:37 2017,205,Initialization,24.0
Thu Feb 16 14:42:37 2017,206,Initialization,24.0
Thu Feb 16 14:42:37 2017,207,Initialization,24.0
Thu Feb 16 14:42:37 2017,208,Initialization,24.0
Thu Feb 16 14:42:38 2017,209,Initialization,24.0
Thu Feb 16 14:42:38 2017,210,Initialization,24.0
Thu Feb 16 14:42:38 2017,211,Initialization,24.0
Thu Feb 16 14:42:38 2017,212,Initialization,24.0
Thu Feb 16 14:42:39 2017,213,Initialization,24.0
Thu Feb 16 14:42:39 2017,214,Initialization,24.0
Thu Feb 16 14:42:39 2017,215,Initialization,24.0
Thu Feb 16 14:42:39 2017,216,Initialization,24.0
Thu Feb 16 14:42:40 2017,217,Initialization,23.0
Thu Feb 16 14:42:40 2017,218,Initialization,24.0
Thu Feb 16 14:42:40 2017,219,Initialization,24.0
Thu Feb 16 14:42:40 2017,220,Initialization,24.0
Thu Feb 16 14:42:41 2017,221,Initialization,24.0
Thu Feb 16 14:42:41 2017,222,Initialization,23.0
Thu Feb 16 14:42:41 2017,223,Initialization,23.0
Thu Feb 16 14:42:41 2017,224,Initialization,23.0
